x_ft,y_ft,lux
85.840596,39.301010,3.747844
86.852030,39.301010,4.142630
87.863465,39.301010,4.562380
88.874899,39.301010,4.994421
89.886333,39.301010,5.418974
90.897768,39.301010,5.809046
91.909202,39.301010,6.132487
92.920636,39.301010,6.356822
57.520434,40.956061,0.485485
58.531869,40.956061,0.509156
59.543303,40.956061,0.534728
60.554737,40.956061,0.562410
61.566172,40.956061,0.592440
62.577606,40.956061,0.625092
63.589040,40.956061,0.660677
64.600475,40.956061,0.699552
65.611909,40.956061,0.742132
66.623343,40.956061,0.788891
67.634778,40.956061,0.840383
68.646212,40.956061,0.897251
69.657646,40.956061,0.960243
70.669081,40.956061,1.030238
71.680515,40.956061,1.108266
72.691949,40.956061,1.195538
73.703384,40.956061,1.293486
74.714818,40.956061,1.403802
75.726253,40.956061,1.528490
76.737687,40.956061,1.669924
77.749121,40.956061,1.830913
78.760556,40.956061,2.014774
79.771990,40.956061,2.225394
80.783424,40.956061,2.467284
81.794859,40.956061,2.745582
82.806293,40.956061,3.065973
83.817727,40.956061,3.434432
84.829162,40.956061,3.856673
85.840596,40.956061,4.337114
86.852030,40.956061,4.877123
87.863465,40.956061,5.472309
88.874899,40.956061,6.108853
89.886333,40.956061,6.759423
90.897768,40.956061,7.380348
91.909202,40.956061,7.912968
92.920636,40.956061,8.292262
93.932071,40.956061,8.462967
94.943505,40.956061,8.397667
57.520434,42.611111,0.492516
58.531869,42.611111,0.516802
59.543303,42.611111,0.543073
60.554737,42.611111,0.571551
61.566172,42.611111,0.602494
62.577606,42.611111,0.636194
63.589040,42.611111,0.672989
64.600475,42.611111,0.713271
65.611909,42.611111,0.757489
66.623343,42.611111,0.806169
67.634778,42.611111,0.859925
68.646212,42.611111,0.919474
69.657646,42.611111,0.985662
70.669081,42.611111,1.059487
71.680515,42.611111,1.142133
72.691949,42.611111,1.235014
73.703384,42.611111,1.339816
74.714818,42.611111,1.458568
75.726253,42.611111,1.593717
76.737687,42.611111,1.748218
77.749121,42.611111,1.925660
78.760556,42.611111,2.130396
79.771990,42.611111,2.367710
80.783424,42.611111,2.643992
81.794859,42.611111,2.966912
82.806293,42.611111,3.345547
83.817727,42.611111,3.790357
84.829162,42.611111,4.312855
85.840596,42.611111,4.924630
86.852030,42.611111,5.635220
87.863465,42.611111,6.448097
88.874899,42.611111,7.353980
89.886333,42.611111,8.321390
90.897768,42.611111,9.286568
91.909202,42.611111,10.149183
92.920636,42.611111,10.784093
93.932071,42.611111,11.075621
94.943505,42.611111,10.963552
95.954939,42.611111,10.471617
96.966374,42.611111,9.695927
57.520434,44.266162,0.498036
58.531869,44.266162,0.522765
59.543303,44.266162,0.549537
60.554737,44.266162,0.578587
61.566172,44.266162,0.610183
62.577606,44.266162,0.644635
63.589040,44.266162,0.682298
64.600475,44.266162,0.723587
65.611909,44.266162,0.768982
66.623343,44.266162,0.819043
67.634778,44.266162,0.874429
68.646212,44.266162,0.935915
69.657646,44.266162,1.004419
70.669081,44.266162,1.081030
71.680515,44.266162,1.167053
72.691949,44.266162,1.264054
73.703384,44.266162,1.373925
74.714818,44.266162,1.498963
75.726253,44.266162,1.641971
76.737687,44.266162,1.806389
77.749121,44.266162,1.996458
